id,name,status,marki,sity,adress,X,Y,telefon,site,time1,time2,pay
S68,Автодром. техцентр,Независимый,Все марки,Пушкино (Пушкинский район),Кавезинская. вл1,37.88169511,55.98481593,(499) 709-78-36,http://avtodrom24.ru/,9:00-21:00,9:00-21:00,Наличный расчет. Visa
S90,АвтоМакс. автотехцентр. г. Железнодорожный,Независимый,Все марки,Железнодорожный,Железнодорожный проезд. 1,37.9818697,55.74837274,(495) 961-48-78. 8-964-510-10-10,automaks.net,9:00-21:00,9:00-21:00,Наличный расчет
S186,Автомойка на Коптевской. 73а,Независимый,Все марки,Москва,Коптевская. 73а - 1 этаж,37.51711478,55.83274174,,,8:00-23:00,8:00-23:00,Наличный расчет
S1039,А & Я. автосервис,Независимый,Все марки,Москва,Щемиловский 1-й пер. 4/2 - 1 этаж,37.60809222,55.77746208,8-916-308-61-31,,,,Наличный расчет
S1040,ААА Смарт. техцентр,Независимый,Все марки,Балашиха,Щёлковское шоссе 20 км. вл2,37.9013342,55.82760239,(495) 737-37-67 (многоканальный),http://aaaservise.ru/,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1041,АБИКАР. технический центр,Независимый,Mersedes. Toyota. Lexus ,Москва,Рябиновая. 55 ст27 - 1 этаж,37.43263051,55.68869883,,www.abicar.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. Maestro Card. Union Card. JCB. Универсальная Электронная Карта (УЭК). 
S1042,Абрис-Ама. техцентр,Независимый,Все марки,Москва,Поморская. 27 - 1 этаж,37.5774332,55.86905014,(499) 481-33-51,a-ama.ru,0:00 - 24:00 ,0:00 - 24:00 ,Наличный расчет. Оплата через банк. через банк
S1043,Техцентр СГ-Моторс на Юго-Западе ,Независимый,Все марки,Москва,ул. Обручева. дом 52. стр. 13  ,37.557834 ,55.645563 ,(495) 783-35-53,www.sg-motors.ru,9:00-21:00,9:00-21:00,Наличный расчет. Visa. MasterCard
S1044,Техцентр СГ-Моторс на ВДНХ ,Независимый,Все марки,Москва,ул. Докукина. д.10. стр.17 ,37.658482 ,55.839775 ,(495) 783-35-53,www.sg-motors.ru,9:00-21:00,9:00-21:00,
S1045,АБСОЛЮТсервис. автоцентр,Независимый,Все марки,Москва,Даниловская Набережная. 8 ст29,37.63812389,55.71035083,8-903-165-95-98,,9:00-21:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1046,АБС-Моторс. автотехцентр,Независимый,Все марки,Москва,Лавочкина. 23 ст3,37.48402251,55.86382098,(495) 940-63-17,www.abs-motors.ru,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S1047,Авалон. автосервис,Независимый,BMW,Москва,Ямского Поля 1-я. 30,37.58611829,55.78478825,(495) 504-83-59,www.mosauto.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. через банк
S1048,Авангард. автотехцентр,Независимый,Все марки,Москва,Миклухо-Маклая. 15 ст1,37.50649029,55.65340618,(495) 434-00-30. 8-965-197-67-67,avg-service.ru,9:00-21:00,9:00-18:00,Наличный расчет
S1049,Аванти Моторс. автосервис,Независимый,Все марки,Москва,Берзарина. 26 к1,37.47666655,55.78889202,(499) 192-13-42. (499) 517-92-54. (495) 759-20-00,avanti-motors.ru,,,Наличный расчет. Оплата через банк. через банк
S1050,Аватар. автосервис,Независимый,Все марки,Москва,Советская. 80 - въезд с ул. Вернисажная,37.75250696,55.79806316,8-985-414-30-40. 8-985-775-60-00,http://avatar-avtoservis.ru/,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. через банк
