id,№,name,name_en,name_type,status,marki,sity,adress,x,y,telefon,site,time,time2,Способы оплаты
S68,0,Автодром,Avtodrom,Автодром. техцентр,Независимый,Все марки,Пушкино (Пушкинский район),Кавезинская. вл1,37.88169511,55.98481593,(499) 709-78-36,http://avtodrom24.ru/,9:00-21:00,9:00-21:00,Наличный расчет. Visa
S90,1,АвтоМакс. г. Железнодорожный,AvtoMaks__g__Zheleznodorozhnyj,АвтоМакс. автотехцентр. г. Железнодорожный,Независимый,Все марки,Железнодорожный,Железнодорожный проезд. 1,37.9818697,55.74837274,(495) 961-48-78. 8-964-510-10-10,automaks.net,9:00-21:00,9:00-21:00,Наличный расчет
S186,2,Автомойка на Коптевской. 73а,Avtomojka_na_Koptevskoj__73a,Автомойка на Коптевской. 73а,Независимый,Все марки,Москва,Коптевская. 73а - 1 этаж,37.51711478,55.83274174,,нет,8:00-23:00,8:00-23:00,Наличный расчет
S1039,3,А & Я,A_&_Ja,А & Я. автосервис,Независимый,Все марки,Москва,Щемиловский 1-й пер. 4/2 - 1 этаж,37.60809222,55.77746208,8-916-308-61-31,нет,,,Наличный расчет
S1040,4,ААА Смарт,AAA_Smart,ААА Смарт. техцентр,Независимый,Все марки,Балашиха,Щёлковское шоссе 20 км. вл2,37.9013342,55.82760239,(495) 737-37-67 (многоканальный),http://aaaservise.ru/,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1041,5,АБИКАР,ABIKAR,АБИКАР. технический центр,Независимый,Mercedes. Toyota. Lexus ,Москва,Рябиновая. 55 ст27 - 1 этаж,37.43263051,55.68869883,,www.abicar.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. Maestro Card. Union Card. JCB. Универсальная Электронная Карта (УЭК). 
S1042,6,Абрис-Ама,Abris-Ama,Абрис-Ама. техцентр,Независимый,Все марки,Москва,Поморская. 27 - 1 этаж,37.5774332,55.86905014,(499) 481-33-51,a-ama.ru,0:00 - 24:00 ,0:00 - 24:00 ,Наличный расчет. Оплата через банк. через банк
S1043,7,Техцентр СГ-Моторс на Юго-Западе ,Tehcentr_SG-Motors_na_Jugo-Zapade,Техцентр СГ-Моторс на Юго-Западе ,Независимый,Все марки,Москва,ул. Обручева. дом 52. стр. 13  ,37.557834 ,55.645563 ,(495) 783-35-53,www.sg-motors.ru,9:00-21:00,9:00-21:00,Наличный расчет. Visa. MasterCard
S1044,8,Техцентр СГ-Моторс на ВДНХ ,Tehcentr_SG-Motors_na_VDNH,Техцентр СГ-Моторс на ВДНХ ,Независимый,Все марки,Москва,ул. Докукина. д.10. стр.17 ,37.658482 ,55.839775 ,(495) 783-35-53,www.sg-motors.ru,9:00-21:00,9:00-21:00,
S1045,9,АБСОЛЮТсервис,ABSOLJuTservis,АБСОЛЮТсервис. автоцентр,Независимый,Все марки,Москва,Даниловская Набережная. 8 ст29,37.63812389,55.71035083,8-903-165-95-98,нет,9:00-21:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1046,10,АБС-Моторс,ABS-Motors,АБС-Моторс. автотехцентр,Независимый,Все марки,Москва,Лавочкина. 23 ст3,37.48402251,55.86382098,(495) 940-63-17,www.abs-motors.ru,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
